"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2007","BG","Bulgaria",-,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2007","CY","Cyprus",-,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2007","CZ","Czechia",6.113537110,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2007","DE","Germany",15.328467150,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2007","DK","Denmark",0.898203590,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2007","EE","Estonia",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2007","EL","Greece",36.855670100,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2007","ES","Spain",2.293577980,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2007","FI","Finland",0.613496930,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2007","FR","France",1.242236020,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2007","HR","Croatia",1.960784310,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2007","HU","Hungary",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2007","IE","Ireland",32.507739930,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2007","IS","Iceland",-,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2007","IT","Italy",10.629921250,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2007","LT","Lithuania",-,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2007","LU","Luxembourg",-,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2007","LV","Latvia",0.000000000,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2007","MT","Malta",-,""
"Antimicrobial resistance","Enterococcus faecium|Vancomycin","R - resistant isolates, percentage  ","%","2007","NL","Netherlands",0.304878040,""
