Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Klebsiella pneumoniae
Antibiotic filter: Ciprofloxacin

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
"MLT","Malta","European Region",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",569,135,47,34.814814815
"MOZ","Mozambique","African Region",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",78,31,26,83.870967742
"NPL","Nepal","South-East Asia Region",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",1301,275,140,50.909090909
"MKD","North Macedonia","European Region",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",284,108,64,59.259259259
"OMN","Oman","Eastern Mediterranean Region",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",1621,400,237,59.25
"PAK","Pakistan","Eastern Mediterranean Region",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",10931,1462,1010,69.083447332
"PHL","Philippines","Western Pacific Region",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",4850,1302,698,53.609831029
"KOR","Republic of Korea","Western Pacific Region",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",4488,957,220,22.988505747
"RUS","Russian Federation","European Region",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2762,763,669,87.680209699
"SAU","Saudi Arabia","Eastern Mediterranean Region",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",1126,395,271,68.607594937
"ZAF","South Africa","African Region",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",23334,6675,2755,41.27340824
"CHE","Switzerland","European Region",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",10322,1369,115,8.400292184
"THA","Thailand","South-East Asia Region",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",6559,1122,413,36.809269162
"TUN","Tunisia","Eastern Mediterranean Region",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",854,248,118,47.580645161
"ARE","United Arab Emirates","Eastern Mediterranean Region",2021,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",3989,1156,540,46.712802768
"ARG","Argentina","Region of the Americas",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",8366,1828,955,52.242888403
"BHR","Bahrain","Eastern Mediterranean Region",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",582,152,79,51.973684211
"BIH","Bosnia and Herzegovina","European Region",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",1207,296,206,69.594594595
"BRA","Brazil","Region of the Americas",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",776,222,150,67.567567568
"GEO","Georgia","European Region",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",1007,200,138,69
"IND","India","South-East Asia Region",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",43929,8874,6429,72.44759973
"IDN","Indonesia","South-East Asia Region",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",5596,1372,900,65.597667638
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2263,496,359,72.379032258
"JPN","Japan","Western Pacific Region",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",158356,18895,888,4.699655994
"JOR","Jordan","Eastern Mediterranean Region",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2027,344,207,60.174418605
"XKX","Kosovo","European Region",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",189,111,3,2.702702703
"LAO","Lao People's Democratic Republic","Western Pacific Region",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",461,64,16,25
"LBN","Lebanon","Eastern Mediterranean Region",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",1084,42,11,26.19047619
"MLI","Mali","African Region",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",286,30,9,30
"MLT","Malta","European Region",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",706,145,43,29.655172414
"MOZ","Mozambique","African Region",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",80,25,20,80
"NPL","Nepal","South-East Asia Region",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2829,349,187,53.581661891
"MKD","North Macedonia","European Region",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",279,99,31,31.313131313
"OMN","Oman","Eastern Mediterranean Region",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2075,424,236,55.660377358
"PAK","Pakistan","Eastern Mediterranean Region",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",16099,2319,1593,68.693402329
"PHL","Philippines","Western Pacific Region",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",5937,1471,781,53.093133923
"KOR","Republic of Korea","Western Pacific Region",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",4484,1003,218,21.734795613
"RUS","Russian Federation","European Region",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",4369,1538,1392,90.507152146
"SAU","Saudi Arabia","Eastern Mediterranean Region",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",1962,636,383,60.220125786
"ZAF","South Africa","African Region",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",24658,7005,3182,45.424696645
"CHE","Switzerland","European Region",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",11308,1495,144,9.632107023
"THA","Thailand","South-East Asia Region",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",9544,1543,550,35.644847699
"TUN","Tunisia","Eastern Mediterranean Region",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",858,184,83,45.108695652
"ARE","United Arab Emirates","Eastern Mediterranean Region",2022,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",4194,1068,446,41.760299625
"ARG","Argentina","Region of the Americas",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",9290,2139,1090,50.958391772
"BHR","Bahrain","Eastern Mediterranean Region",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",964,246,116,47.154471545
"BIH","Bosnia and Herzegovina","European Region",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",1271,379,290,76.517150396
"BRA","Brazil","Region of the Americas",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",3041,758,507,66.886543536
"GEO","Georgia","European Region",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",898,177,126,71.186440678
